Vendor_Ssn,PART_Id
942084075,P4442
754832558,P4372
931906129,P9990
924134046,P4428
183010188,P9817
545384581,P9739
836023041,P5205
232869515,P2110
156408583,P7287
130793766,P8364
657717114,P5233
766907796,P7306
793578235,P5264
129323784,P4173
986710248,P7231
924545398,P2564
158665910,P4486
899558867,P9776
189056115,P8674
106821625,P6082
947875202,P8970
891454649,P5312
302827398,P6627
255020716,P8706
591573321,P3272
394912916,P9485
533908287,P1784
930535157,P6104
569545541,P6268
418366071,P5137
