Cust_ssn,Vendor_ssn,Geography_id,Part_id
317235881,239652934,GEO6845,PART4250
112115673,407259193,GEO3364,PART1137
588056985,906796523,GEO8916,PART2032
378860855,426773809,GEO7776,PART7692
477049713,326891304,GEO3107,PART3827
950603090,555440568,GEO1990,PART3325
787365262,297541088,GEO5721,PART7824
768989905,732566896,GEO1977,PART3650
733830659,366908986,GEO1356,PART7231
954353966,861542683,GEO4944,PART7725
585528043,661617272,GEO3694,PART3827
689576965,996766617,GEO4538,PART1989
447400352,224586419,GEO6306,PART9017
468358314,516360274,GEO5049,PART8045
284382662,304363525,GEO8602,PART4224
862337251,637883858,GEO6128,PART6608
459475108,699981967,GEO8669,PART3269
901456585,137632570,GEO4906,PART8366
561772769,207273245,GEO8115,PART3147
925808253,358078516,GEO1091,PART9485
602525250,557863102,GEO4622,PART6724
343103572,309429714,GEO6023,PART3030
823875150,605442344,GEO4772,PART2329
954414100,364212110,GEO9011,PART2559
869697751,342604456,GEO5128,PART9722
351598239,243411320,GEO1076,PART7097
355694756,840802344,GEO9394,PART1660
787748205,476476992,GEO3732,PART2576
391521851,553819000,GEO5413,PART5707
476715568,105633272,GEO5663,PART3061
